VARIABLE,DESCRIPCION,FORMATO_O_FUENTE,OBSERVACION,CODIFICACION_EN_BASE_ML,FUENTE
ID_REGISTRO,Número identificador del caso,TEXTO,-,Identificador anónimo del caso,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
FECHA_SINTOMAS,Idenitifica la fecha en que inició la sintomatología del paciente.,AAAA-MM-DD,-,AAAA-MM-DD,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
ENTIDAD_RES,Identifica la entidad de residencia del paciente.,CATALÓGO: ENTIDADES,-,Clave de entidad federativa conforme al catálogo oficial,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
SEXO,Identifica al sexo del paciente.,CATÁLOGO: SEXO,-,1 = Mujer; 2 = Hombre; 99 = No especificado,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
EDAD,Identifica la edad del paciente.,NÚMERICA EN AÑOS,-,Edad en años,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
TIPO_PACIENTE,Identifica el tipo de atención que recibió el paciente en la unidad. Se denomina como ambulatorio si regresó a su casa o se denomina como hospitalizado si fue ingresado a hospitalización.,CATÁLOGO: TIPO_PACIENTE,-,0 = Ambulatorio; 1 = Hospitalizado (recodificada desde 1/2),"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
NEUMONIA,Identifica si al paciente se le diagnosticó con neumonía.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
DIABETES,Identifica si el paciente tiene un diagnóstico de diabetes.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
EPOC,Identifica si el paciente tiene un diagnóstico de EPOC.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
ASMA,Identifica si el paciente tiene un diagnóstico de asma.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
INMUSUPR,Identifica si el paciente presenta inmunosupresión.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
HIPERTENSION,Identifica si el paciente tiene un diagnóstico de hipertensión.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
CARDIOVASCULAR,Identifica si el paciente tiene un diagnóstico de enfermedades cardiovasculares.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
OBESIDAD,Identifica si el paciente tiene diagnóstico de obesidad.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
RENAL_CRONICA,Identifica si el paciente tiene diagnóstico de insuficiencia renal crónica.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
TABAQUISMO,Identifica si el paciente tiene hábito de tabaquismo.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
UCI,Identifica si el paciente requirió ingresar a una Unidad de Cuidados Intensivos.,CATÁLOGO: SI_ NO,-,0 = No; 1 = Sí; NA = 97/98/99,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
NUM_COMORBILIDADES,"Variable derivada: suma de DIABETES, EPOC, ASMA, INMUSUPR, HIPERTENSION, CARDIOVASCULAR, OBESIDAD, RENAL_CRONICA y TABAQUISMO.",ENTERO DERIVADO,Creada para los ejemplos de Machine Learning del libro.,Suma de nueve comorbilidades binarias,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
MURIO,Variable derivada a partir de FECHA_DEF: 1 cuando existe una fecha de defunción válida y 0 cuando se registra 9999-99-99 o no hay fecha.,BINARIA DERIVADA,No representa causalidad ni diagnóstico; se utiliza con fines educativos.,0 = Sin defunción registrada; 1 = Defunción registrada,"Diccionario oficial de datos abiertos COVID-19, corte 2024-07-08; variables derivadas indicadas en OBSERVACION."
